Billing Document,Item,Billing Type,Billing Date,Billing Qty in SKU,Material,Item Description,Material Group,Assignment
60000001,10,ZF2,9/13/2024,3250,34000008,COMFEED P Broiler Starter CRB50,FPBF01,60000001
60000002,10,ZF2,9/13/2024,500,34000008,COMFEED P Broiler Starter CRB50,FPBF01,60000002
60000002,20,ZF2,9/13/2024,1000,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000002
60000002,30,ZF2,9/13/2024,1000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000002
60000002,40,ZF2,9/13/2024,1000,34000024,BENEFEED C Broiler Counter CRB-50 Kg,FPBF01,60000002
60000002,50,ZF2,9/13/2024,8500,34000055,ULTRAFEED P Brlr Brdr Layer Ph3 Pellet50,FPBF03,60000002
60000002,60,ZF2,9/13/2024,400,34000066,COMFEED P Broiler Conc 10% Mash50,FPBF01,60000002
60000002,70,ZF2,9/13/2024,250,34000073,COMFEED P Broiler Pre-Starter 5% Premix,FPBF01,60000002
60000002,80,ZF2,9/13/2024,250,34000075,COMFEED P Broiler Finisher 5% Premix,FPBF01,60000002
60000002,90,ZF2,9/13/2024,1100,34000076,COMFEED P Layer Starter CRB50,FPLF01,60000002
60000002,100,ZF2,9/13/2024,2500,34000093,BENEFEED P Layer Layer Ph1 CRB50,FPLF01,60000002
60000002,110,ZF2,9/13/2024,4500,34000109,COMFEED P Layer Grwr Con 40% CRB50,FPLF01,60000002
60000002,120,ZF2,9/13/2024,19750,34000117,BENEFEED C Deshi Starter CRB50,FPDF01,60000002
60000003,10,ZF2,9/13/2024,500,34000076,COMFEED P Layer Starter CRB50,FPLF01,60000003
60000004,10,ZF2,9/13/2024,50,34000076,COMFEED P Layer Starter CRB50,FPLF01,60000004
60000005,10,ZF2,9/13/2024,50,34000076,COMFEED P Layer Starter CRB50,FPLF01,60000005
60000006,10,ZF2,9/13/2024,50,34000076,COMFEED P Layer Starter CRB50,FPLF01,60000006
60000009,10,ZF2,9/15/2024,250,34000122,BENEFEED C Deshi Ds Conc 35% CRB50,FPLF01,60000009
60000010,10,ZF2,9/15/2024,1000,34000122,BENEFEED C Deshi Ds Conc 35% CRB50,FPLF01,60000010
60000011,10,ZF2,9/15/2024,1000,34000122,BENEFEED C Deshi Ds Conc 35% CRB50,FPLF01,60000011
60000015,10,ZF2,9/19/2024,3000,34000007,COMFEED P Broiler Pre-Starter CRB50,FPBF01,60000015
60000016,10,ZF2,9/19/2024,5000,34000007,COMFEED P Broiler Pre-Starter CRB50,FPBF01,60000016
60000016,20,ZF2,9/19/2024,5000,34000008,COMFEED P Broiler Starter CRB50,FPBF01,60000016
60000016,30,ZF2,9/19/2024,5000,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000016
60000016,40,ZF2,9/19/2024,5000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000016
60000017,10,ZF2,9/19/2024,500,34000007,COMFEED P Broiler Pre-Starter CRB50,FPBF01,60000017
60000017,20,ZF2,9/19/2024,50,34000008,COMFEED P Broiler Starter CRB50,FPBF01,60000017
60000018,10,ZF2,9/19/2024,500,34000007,COMFEED P Broiler Pre-Starter CRB50,FPBF01,60000018
60000018,20,ZF2,9/19/2024,500,34000008,COMFEED P Broiler Starter CRB50,FPBF01,60000018
60000018,30,ZF2,9/19/2024,500,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000018
60000018,40,ZF2,9/19/2024,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000018
60000019,10,ZF2,9/20/2024,500,34000007,COMFEED P Broiler Pre-Starter CRB50,FPBF01,60000019
60000019,20,ZF2,9/20/2024,500,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000019
